group,protein_id,uniprot_accessions,r108_annotation,sequence_length,best_primary_pair,best_primary_donor_combo,best_primary_support_models,best_primary_distance_A,best_primary_min_plddt,best_primary_pae_A,best_primary_mean_sasa_A2,bait_psm,control_psm,pull_down_log2_psm_ratio,mtexpress_median_log2fc_nodule_vs_root,context_category,context_label,primary_class,site_interpretation,native_alternative,location,location_compatibility,domain_context,annotation_conflict,confidence,final_disposition,disposition_bucket,rationale,source_urls,flag_native_metal_or_catalytic,flag_conserved_or_canonical_fold,flag_compartment_incompatible_or_indirect,flag_scaffold_or_proteostasis,flag_annotation_conflict,retained_secondary_interaction_hypothesis,direct_NCC1_Cu_client_established,context_order,disposition_order,cysteine_count,methionine_count,histidine_count,signalp6_prediction,deeptmhmm_tm_count,context_source,bait_enriched,control_detected,direct_client_supported,client_claim_status,context_bucket,all_primary_sites
Candidate,MtrunR108HiC_001767.1,A0A072VT43,Putative protein-synthesizing GTPase,843,H27-C136,C-H,2.0,4.341105964735396,81.875,2.5475000000000003,8.25387162887134,38,1,4.285402218862249,-0.3432940676034217,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Conserved housekeeping fold; interaction-enriched but transfer-unproven,"H27-C136 lies in the translational GTPase domain; the same geometry recurs in the close paralog MtrunR108HiC_008307.1, favoring a conserved fold feature rather than a dedicated Cu site.",GTPase/nucleotide-binding fold,Cytoplasm|Nucleus,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Retain only as a secondary interaction-enriched candidate; do not call an NCC1 Cu client,Secondary interaction candidate (transfer unproven),"Cytosolic/nuclear and strongly bait-enriched, but geometry is paralog-conserved and no Cu binding or transfer evidence exists.",https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,True,False,False,False,True,False,1,1,,,,,,,,,,,,H27-C136 (C-H; 2/3; d=4.34 A; FreeSASA=8.25 A2)
Candidate,MtrunR108HiC_008307.1,G7IH13,Putative protein-synthesizing GTPase,843,H27-C136,C-H,3.0,4.355399637231926,79.19,2.98,8.951040292989346,25,1,3.700439718141092,-0.2461364121609599,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Conserved housekeeping fold; interaction-enriched but transfer-unproven,H27-C136 lies in the translational GTPase domain and matches MtrunR108HiC_001767.1.,GTPase/nucleotide-binding fold,Cytoplasm|Nucleus,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Retain only as a secondary interaction-enriched candidate; do not call an NCC1 Cu client,Secondary interaction candidate (transfer unproven),"Cytosolic/nuclear and bait-enriched, but repeated paralogous geometry argues for conserved fold context rather than a unique Cu-receiving site.",https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,True,False,False,False,True,False,1,1,,,,,,,,,,,,H27-C136 (C-H; 3/3; d=4.36 A; FreeSASA=8.95 A2)
Candidate,MtrunR108HiC_009426.1,G7IU25,Putative phosphoenolpyruvate carboxylase,966,H514-C548,C-H,2.0,4.4517423702119,95.97,1.2650000000000001,6.054395205717867,8,3,1.1699250014423124,-1.82440701477578,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Housekeeping enzyme fold coincidence,"H514-C548 lies inside the phosphoenolpyruvate carboxylase fold, away from evidence for a dedicated Cu-receiving module.",PEP carboxylase catalytic/conformational fold,Cytoplasm,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,Moderate,Retain only as a secondary interaction candidate; no Cu-client claim,Secondary interaction candidate (transfer unproven),"Cytosolic and modestly bait-enriched, but the site is embedded in a large canonical metabolic enzyme and lacks transfer evidence.",https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,True,False,False,False,True,False,1,1,,,,,,,,,,,,H514-C548 (C-H; 2/3; d=4.45 A; FreeSASA=6.05 A2)
Candidate,MtrunR108HiC_012482.1,G7JZK0,Putative asparagine synthase (glutamine-hydrolyzing),586,M478-M501,M-M,3.0,4.923002031281318,97.56,1.64,5.843836566575781,25,3,2.700439718141092,2.960482275233798,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Conserved enzyme-fold site; failed interaction robustness,"M478-M501 is a well-ordered, conserved asparagine-synthetase-family feature, not an NCC1-specific site.",Asparagine synthetase family fold,Cytoplasm,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Remove from core conclusions; retain as a supplementary negative-triage example,Negative-calibration/native-site benchmark,"Despite bait enrichment and stable monomer geometry, 25 multimer models have low ipTM, high cross-chain PAE, and poor interface reproducibility.",https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,True,False,False,False,False,False,1,2,,,,,,,,,,,,M478-M501 (M-M; 3/3; d=4.92 A; FreeSASA=5.84 A2)
Candidate,MtrunR108HiC_014175.1,G7J914,Putative caffeate O-methyltransferase,365,M130-M180,M-M,3.0,4.700108722146754,95.38,1.43,7.246684900840083,2,0,1.584962500721156,-0.8512315099689562,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Housekeeping enzyme fold coincidence,M130-M180 lies within the caffeate O-methyltransferase fold.,SAM-dependent methyltransferase fold,Cytoplasm,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from core NCC1-client interpretation,Exclude from direct-client interpretation,Bait-identified canonical metabolic enzyme with no independent Cu or interaction evidence; raw control PSM was not detected.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,True,False,False,False,False,False,1,3,,,,,,,,,,,,M130-M180 (M-M; 3/3; d=4.70 A; FreeSASA=7.25 A2)
Candidate,MtrunR108HiC_029157.1,A0A072TX38,Putative UDP-arabinopyranose mutase,358,M207-H263,H-M,2.0,3.712720029835599,95.53,2.1525,6.2450222644891955,3,0,2.0,-1.1709899751590491,Canonical/conserved enzyme-fold coincidence,Conserved/canonical fold,Housekeeping enzyme fold coincidence,M207-H263 and C103-M207 lie within the UDP-arabinopyranose mutase enzyme fold.,Nucleotide-sugar mutase catalytic fold,Cytoplasm,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from core NCC1-client interpretation,Exclude from direct-client interpretation,Cytosolic canonical enzyme with no direct Cu-binding or transfer evidence; bait identification alone is insufficient.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,True,False,False,False,False,False,1,3,,,,,,,,,,,,M207-H263 (H-M; 2/3; d=3.71 A; FreeSASA=6.25 A2)
Candidate,MtrunR108HiC_005650.1,G7IL92,Putative histidine decarboxylase,485,C469-C481,C-C,3.0,3.835274305704873,92.0,1.745,6.398210925668453,4,0,2.321928094887362,1.4728017149688597,Native metal/catalytic-site alternative,Native metal/catalytic site,Native metal/catalytic-site mimic,A reproducible C469/C479/C481/H484 cluster forms a compact 3Cys+His Zn-like site at the C terminus.,Probable structural Zn site or annotation-specific C-terminal metal site,Cytoplasm,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Retain as a native-site false-positive benchmark; exclude from core NCC1-client set,Negative-calibration/native-site benchmark,The 25-model stability supports a real local site but not Cu transfer; the ligand set is more consistent with a native structural metal site.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,True,False,False,False,False,False,False,2,2,,,,,,,,,,,,C469-C481 (C-C; 3/3; d=3.84 A; FreeSASA=6.40 A2); C469-C479 (C-C; 3/3; d=3.81 A; FreeSASA=6.06 A2); C469-H484 (C-H; 3/3; d=3.48 A; FreeSASA=5.65 A2)
Candidate,MtrunR108HiC_009165.1,G7ITZ5,Putative aconitate hydratase,979,M228-M707,M-M,3.0,4.838679261947415,92.06,2.045,7.072024752173576,7,0,3.0,-0.1230576736637445,Native metal/catalytic-site alternative,Native metal/catalytic site,Native metal/catalytic-site mimic,"The positive set includes H211-C588 and C522-C591 within an aconitase Fe-S enzyme fold, alongside an M-M pair.",Canonical aconitase [4Fe-4S] center/fold,Mitochondrion,Compartment-incompatible or indirect,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from direct NCC1-client interpretation; use as a native Fe-S-site benchmark,Negative-calibration/native-site benchmark,Mitochondrial localization and an obligate native Fe-S enzyme context provide a stronger explanation than NCC1-mediated Cu delivery.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,True,False,False,False,False,False,False,2,2,,,,,,,,,,,,M228-M707 (M-M; 3/3; d=4.84 A; FreeSASA=7.07 A2); C522-C591 (C-C; 2/3; d=3.37 A; FreeSASA=6.96 A2); H211-C588 (C-H; 2/3; d=3.77 A; FreeSASA=6.15 A2)
Candidate,MtrunR108HiC_013677.1,G7JBC0,Putative protein transport protein Sec23,771,M671-H720,H-M,3.0,4.780521624258172,91.25,2.15,19.266699044585064,3,0,2.0,0.2462465655132746,Scaffold/proteostasis context,Scaffold/proteostasis,Macromolecular scaffold/trafficking fold coincidence,M671-H720 lies in the Sec23 C-terminal/gelsolin-like region of a COPII coat component.,COPII coat assembly interface,Cytoplasm,NCC1-compartment compatible,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from core; retain only as a generic co-purification/scaffold example,Exclude from direct-client interpretation,Cytosolic compatibility alone is insufficient; the protein has a strong pre-existing trafficking/scaffold function and no Cu-transfer evidence.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,False,False,True,False,False,False,3,3,,,,,,,,,,,,M671-H720 (H-M; 3/3; d=4.78 A; FreeSASA=19.27 A2)
Candidate,MtrunR108HiC_020073.1,G7L9M1,Putative transcription factor WD40-like family,1089,H71-C127,C-H,2.0,4.958202311238368,83.16,2.8125,6.792689230224754,3,15,-2.0,-0.0281777054886092,Scaffold/proteostasis context,Scaffold/proteostasis,Macromolecular scaffold/WD40-fold coincidence,The recurrent sulfur-anchored geometry lies in the DDB1/RSE1 WD40 beta-propeller scaffold; it is a fold-context coincidence and not evidence for a dedicated Cu-receiving module.,Conserved DDB1/RSE1 WD40 scaffold architecture,Cytoplasm,NCC1-compartment compatible,PFAM:IPR018846:Beta-prop_RSE1/DDB1/CPSF1_1st:16-344 | COILS:Coil:Coil:1068-1088 | GENE3D:IPR015943:WD40/YVTN_repeat-like_dom_sf:15-347 | FUNFAM:G3DSA:2.130.10.10:FF:000267:DNA damage-binding protein 1a:386-703 | FUNFAM:G3DSA:2.130.10.10:FF:000182:DNA damage-binding protein 1a:15-347 | GENE3D:G3DSA:1.10.150.910::1004-1089 | FUNFAM:G3DSA:1.10.150.910:FF:000003:DNA damage-binding protein 1a:1003-1089 | FUNFAM:G3DSA:2.130.10.10:FF:000070:DNA damage-binding protein 1:733-998 | COILS:Coil:Coil:422-442 | GENE3D:IPR015943:WD40/YVTN_repeat-like_dom_sf:386-703 | PFAM:IPR058543:Beta-prop_RSE1/DDB1/CPSF1_2nd:389-698 | GENE3D:IPR015943:WD40/YVTN_repeat-like_dom_sf:5-998 | SUPERFAMILY:IPR036322:WD40_repeat_dom_sf:465-887 | PFAM:IPR004871:RSE1/DDB1/CPSF1_C:746-1058 | PANTHER:IPR050358:RSE1/DDB1/CFT1:5-1078,No major cross-source conflict detected,Moderate-high,Exclude from direct-client interpretation; retain as a large WD40-scaffold false-positive calibration case.,Exclude from direct-client interpretation,Exact R108 InterProScan identifies three DDB1/RSE1 beta-propeller regions; localization is compatible but residual pull-down specificity is background-like (52.7th background percentile).,https://lipm-browsers.toulouse.inra.fr/expression-atlas-data/v3/20220901_MtExpressV3-Dataset.zip,False,False,False,True,False,False,False,3,3,22.0,13.0,30.0,OTHER,0.0,Exact R108 DeepLoc/SignalP/DeepTMHMM/InterProScan plus frozen residual-specificity model,False,True,False,No direct-client claim; geometry is compatible but explained by native scaffold context.,Scaffold/proteostasis context,H71-C127 (C-H; 2/3; d=4.96 A; FreeSASA=6.79 A2)
Candidate,MtrunR108HiC_005592.1,G7IPG7,Putative UDP-glucose:Glycoprotein Glucosyltransferase,1627,M1459-M1564,M-M,2.0,4.675783522884498,73.065,3.4025,13.55877841490642,3,0,2.0,-0.000119045529491,Compartment-incompatible/indirect,Compartment-incompatible/indirect,Compartment-incompatible or indirect,M1459-M1564 lies in the luminal UDP-glucose:glycoprotein glucosyltransferase catalytic region.,ER glycoprotein quality-control enzyme,Endoplasmic reticulum,Compartment-incompatible or indirect,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from direct NCC1-client interpretation,Exclude from direct-client interpretation,Signal peptide/ER localization is inconsistent with direct cytosolic NCC1 Cu delivery; bait identification alone does not resolve this mismatch.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,False,True,False,False,False,False,4,3,,,,,,,,,,,,M1459-M1564 (M-M; 2/3; d=4.68 A; FreeSASA=13.56 A2)
Candidate,MtrunR108HiC_009975.1,Q2HVX1,Putative PLAT/LH2 domain superfamily protein,153,C42-H125,C-H,2.0,4.5479750916904145,87.81,2.7125000000000004,6.2613936154238194,6,0,2.807354922057604,9.85814344463613,Compartment-incompatible/indirect,Compartment-incompatible/indirect,Compartment-incompatible or indirect,C42-H125 lies in a secreted PLAT/LH2 domain after a signal peptide.,Secretory/disulfide-context PLAT protein,Extracellular,Compartment-incompatible or indirect,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from direct NCC1-client interpretation,Exclude from direct-client interpretation,Extracellular prediction and signal peptide are incompatible with direct cytosolic NCC1 transfer.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,False,True,False,False,False,False,4,3,,,,,,,,,,,,C42-H125 (C-H; 2/3; d=4.55 A; FreeSASA=6.26 A2)
Candidate,MtrunR108HiC_013262.1,G7J486,Putative protein-synthesizing GTPase,488,H102-M192,H-M,3.0,4.985054262493038,90.75,1.42,11.295667088139847,5,0,2.584962500721156,-0.0181809918777791,Compartment-incompatible/indirect,Compartment-incompatible/indirect,Compartment-incompatible or indirect,H102-M192 falls in an organellar elongation-factor GTPase domain.,Plastid translational GTPase fold,Plastid,Compartment-incompatible or indirect,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from direct NCC1-client interpretation,Exclude from direct-client interpretation,Plastid targeting outweighs the local geometry for a direct cytosolic-transfer claim.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,False,True,False,False,False,False,4,3,,,,,,,,,,,,H102-M192 (H-M; 3/3; d=4.99 A; FreeSASA=11.30 A2)
Candidate,MtrunR108HiC_020715.1,G7LIV6,Putative ligase,542,H279-M358,H-M,3.0,4.46495251934441,90.62,1.8,10.01812212326013,2,0,1.584962500721156,-0.6188179090380403,Compartment-incompatible/indirect,Compartment-incompatible/indirect,Compartment-incompatible or indirect,H279-M358 lies within a biotin-carboxylase/ATP-grasp catalytic region.,Plastid biotin-carboxylase-like enzyme,Plastid,Compartment-incompatible or indirect,Exact R108 pair lies in same InterProScan domain,No major cross-source conflict detected,High,Exclude from direct NCC1-client interpretation,Exclude from direct-client interpretation,Plastid targeting dominates over the local donor geometry for a direct NCC1-client claim.,https://services.healthtech.dtu.dk/ | https://www.ebi.ac.uk/interpro/,False,False,True,False,False,False,False,4,3,,,,,,,,,,,,H279-M358 (H-M; 3/3; d=4.46 A; FreeSASA=10.02 A2)
